source,target,type,weight,reason
A03,A01,depends,0.85,启动与退出应用需要先掌握鼠标单击与双击
A05,A02,depends,0.85,创建与重命名文件需要先掌握输入法与语音输入
A05,A03,depends,0.85,创建与重命名文件需要先掌握启动与退出应用
A06,A02,depends,0.85,复制粘贴与撤销需要先掌握输入法与语音输入
A07,A03,depends,0.85,浏览与识别网址需要先掌握启动与退出应用
A08,A05,depends,0.85,上传下载与找回需要先掌握创建与重命名文件
A08,B09,depends,0.85,上传下载与找回需要先掌握个人信息最小化
A09,A07,depends,0.85,官方安装入口需要先掌握浏览与识别网址
A10,A02,depends,0.85,账号保护与验证需要先掌握输入法与语音输入
A12,B09,depends,0.85,截图与信息遮挡需要先掌握个人信息最小化
A12,A05,depends,0.85,截图与信息遮挡需要先掌握创建与重命名文件
B02,B01,depends,0.85,适用任务与局限需要先掌握生成式AI是什么
B03,B01,depends,0.85,幻觉与错误自信需要先掌握生成式AI是什么
B04,B01,depends,0.85,模型与联网区别需要先掌握生成式AI是什么
B05,A07,depends,0.85,定位原始来源需要先掌握浏览与识别网址
B06,B05,depends,0.85,交叉核验主张需要先掌握定位原始来源
B06,B12,depends,0.85,交叉核验主张需要先掌握承认不确定性
B07,B05,depends,0.85,核对引文元数据需要先掌握定位原始来源
B08,B05,depends,0.85,搜索未命中判断需要先掌握定位原始来源
B08,B03,depends,0.85,搜索未命中判断需要先掌握幻觉与错误自信
B10,B09,depends,0.85,学术用途与披露需要先掌握个人信息最小化
B11,B09,depends,0.85,合成音视频核实需要先掌握个人信息最小化
C02,C01,depends,0.85,补充背景与材料需要先掌握定义任务目标
C02,B09,depends,0.85,补充背景与材料需要先掌握个人信息最小化
C03,C01,depends,0.85,限定输出与标准需要先掌握定义任务目标
C04,C03,depends,0.85,提供示例与对照需要先掌握限定输出与标准
C05,C01,depends,0.85,分解复杂任务需要先掌握定义任务目标
C05,C03,depends,0.85,分解复杂任务需要先掌握限定输出与标准
C06,C03,depends,0.85,根据结果迭代需要先掌握限定输出与标准
C07,B05,depends,0.85,资料内检索与摘录需要先掌握定位原始来源
C07,B12,depends,0.85,资料内检索与摘录需要先掌握承认不确定性
C08,C02,depends,0.85,上下文裁剪与续接需要先掌握补充背景与材料
C09,B12,depends,0.85,知识卡最小单元需要先掌握承认不确定性
C10,C09,depends,0.85,检索命中与回退需要先掌握知识卡最小单元
C10,C11,depends,0.85,检索命中与回退需要先掌握来源版本与复审
C11,B05,depends,0.85,来源版本与复审需要先掌握定位原始来源
C12,C11,depends,0.85,知识冲突处理需要先掌握来源版本与复审
C12,B12,depends,0.85,知识冲突处理需要先掌握承认不确定性
D01,C01,depends,0.85,学习提纲辅助需要先掌握定义任务目标
D01,B10,depends,0.85,学习提纲辅助需要先掌握学术用途与披露
D02,C07,depends,0.85,阅读摘要回原文需要先掌握资料内检索与摘录
D02,B06,depends,0.85,阅读摘要回原文需要先掌握交叉核验主张
D03,B10,depends,0.85,学术写作自查需要先掌握学术用途与披露
D03,B07,depends,0.85,学术写作自查需要先掌握核对引文元数据
D04,B09,depends,0.85,练习数据与图表需要先掌握个人信息最小化
D04,F10,depends,0.85,练习数据与图表需要先掌握指标分母与缺失
D05,C05,depends,0.85,会议纪要核对需要先掌握分解复杂任务
D05,B09,depends,0.85,会议纪要核对需要先掌握个人信息最小化
D06,A05,depends,0.85,文档排版与导出需要先掌握创建与重命名文件
D06,A06,depends,0.85,文档排版与导出需要先掌握复制粘贴与撤销
D07,C05,depends,0.85,汇报PPT大纲需要先掌握分解复杂任务
D07,D06,depends,0.85,汇报PPT大纲需要先掌握文档排版与导出
D08,B10,depends,0.85,作品来源与授权需要先掌握学术用途与披露
D09,C03,depends,0.85,真实简历改写需要先掌握限定输出与标准
D09,B09,depends,0.85,真实简历改写需要先掌握个人信息最小化
D10,D09,depends,0.85,模拟面试与复盘需要先掌握真实简历改写
D11,C01,depends,0.85,生活文本练习需要先掌握定义任务目标
D11,C06,depends,0.85,生活文本练习需要先掌握根据结果迭代
D12,B04,depends,0.85,生活信息再核实需要先掌握模型与联网区别
D12,B05,depends,0.85,生活信息再核实需要先掌握定位原始来源
E02,E01,depends,0.85,切换讲解节奏需要先掌握识别目标与能力
E02,A04,depends,0.85,切换讲解节奏需要先掌握一步一停的操作
E03,A04,depends,0.85,演示并让学员复做需要先掌握一步一停的操作
E04,E01,depends,0.85,卡点排查四问需要先掌握识别目标与能力
E04,A12,depends,0.85,卡点排查四问需要先掌握截图与信息遮挡
E05,E03,depends,0.85,D3五十分钟课需要先掌握演示并让学员复做
E05,E07,depends,0.85,D3五十分钟课需要先掌握证据量规批改
